Sample in Buffer,Sample in Window,TRIGGER,nolabel_line188/CSI_BRAM_ENB_1_1,nolabel_line188/csi_gearbox_dma_0_mipi_data[15:0],nolabel_line188/csi_gearbox_dma_0_dbg_fifo_data_ct[11:0],nolabel_line188/CSI_MON_LPD0N_1,nolabel_line188/CSI_MON_LPD0P_1,nolabel_line188/Net[63:0],nolabel_line188/Net1,nolabel_line188/csi_gearbox_dma_0_s00_axis_tready,nolabel_line188/CSI_BRAM_ENB_1,nolabel_line188/CSI_MON_EM_MIPI_START_FRAME_1,nolabel_line188/CSI_MON_EM_MIPI_START_LINES_1,nolabel_line188/CSI_MON_EM_MIPI_END_FRAME_1,nolabel_line188/CSI_MON_EM_MIPI_DONE_1,nolabel_line188/CSI_MON_EM_MIPI_STOP_1,nolabel_line188/CSI_MON_LINE_COUNT_1[5:0],nolabel_line188/csi_gearbox_dma_0_mipi_read_valid,nolabel_line188/CSI_MON_LINE_BYTE_COUNT_1[20:0],nolabel_line188/CSI_CTRL_STATE_DBG_1[5:0],nolabel_line188/CSI_MON_MIPI_BUSY_DBG_1,nolabel_line188/CSI_MON_MIPI_DONE_DBG_1,nolabel_line188/CSI_MON_MIPI_INIT_SHORT_DBG_1,nolabel_line188/CSI_MON_MIPI_INIT_LONG_DBG_1,nolabel_line188/CSI_MON_MIPI_INIT_IDLE_DBG_1,nolabel_line188/CSI_MON_MIPI_DEBUG_TX_SIZE_1[15:0],nolabel_line188/CSI_MON_MIPI_DEBUG_STATE_1[5:0],nolabel_line188/CSI_MON_MIPI_DEBUG_STATE_TIMER_1[15:0],nolabel_line188/CSI_MON_MIPI_DEBUG_STATE_TIMER2_1[15:0],nolabel_line188/CSI_MON_LPCLKN_1,nolabel_line188/CSI_MON_LPCLKP_1
0,0,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
1,1,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
2,2,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
3,3,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
4,4,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
5,5,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
6,6,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
7,7,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
8,8,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
9,9,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
10,10,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
